word,count
美国,51617
中国,26838
国家,19517
战争,16153
西方,14338
北约,13183
局势,11970
欧洲,11267
普京,10924
总统,10600
经济,10580
视频,10264
世界,9778
报道,9746
军事,9631
全球,9619
以色列,9057
俄军,8820
连斯基,8606
微博,8455
支持,7995
国际,7989
乌军,7362
欧盟,6864
德国,6603
发展,6591
提供,6402
日本,6267
法国,6241
时间,6164
伊朗,6160
特朗普,6112
拜登,6006
地区,5836
黄金,5767
和平,5569
2024,5551
政治,5457
武器,5388
持续,5358
爆发,5300
军队,5235
战略,5166
影响,5117
发生,5082
袭击,5053
无人机,4942
关注,4889
导弹,4879
计划,4864
市场,4857
2023,4854
英国,4802
援助,4765
新闻,4729
关系,4576
包括,4569
马克,4548
制裁,4531
合作,4435
情况,4428
美元,4308
结束,4242
巴以,4231
希望,4139
超话,4131
基辅,4074
媒体,4024
未来,3956
危机,3817
打击,3771
中东,3685
这是,3664
战场,3655
2022,3653
目标,3652
10,3603
消息,3591
事件,3470
接受,3407
政府,3406
莫斯科,3396
导致,3393
解决,3375
之间,3291
新进展,3289
去年,3274
特别,3268
风险,3165
发布,3140
升级,3119
采访,3106
能力,3083
前线,3072
增长,2952
两年,2925
国内,2906
社会,2893
公司,2891
攻击,2891
历史,2871
面临,2851
武装,2841
进一步,2840
记者,2831
指出,2830
亿美元,2820
这场,2812
威胁,2806
谈判,2805
石油,2798
这一,2762
系统,2756
稳定,2660
作战,2656
企业,2655
能源,2646
原因,2643
大规模,2631
印度,2620
12,2612
俄方,2586
利益,2586
政策,2585
此前,2573
中方,2568
领域,2562
地缘,2530
士兵,2519
显示,2498
超过,2494
方向,2486
数据,2484
加沙,2453
出口,2453
增加,2428
会议,2418
参与,2406
带来,2394
投资,2373
人员,2366
大国,2364
部队,2358
推动,2343
发动,2329
美军,2305
引发,2286
波兰,2272
资产,2272
相关,2268
最新进展,2249
24,2237
控制,2226
11,2225
资金,2216
实施,2194
应对,2170
生产,2170
两周年,2162
领导人,2159
方式,2145
真的,2131
军事行动,2097
回应,2095
公开,2084
分析,2081
一种,2078
领土,2069
一场,2068
首次,2063
协议,2060
言论,2052
讨论,2048
呼吁,2043
对抗,2040
选择,2020
需求,2019
代表,2018
金融,2017
两个,2013
组织,2010
期间,1995
官员,1984
制造,1983
警告,1981
越来越,1981
防空,1979
死亡,1976
民众,1959
反对,1959
技术,1947
20,1938
土耳其,1930
上涨,1917
发表,1913
胡塞,1890
成功,1889
最终,1882
坦克,1877
资源,1870
武装部队,1869
预期,1855
提出,1853
进攻,1850
法案,1832
武器装备,1827
盟友,1815
一点,1812
挑战,1811
立场,1800
压力,1798
事情,1790
链接,1780
台湾,1765
变化,1762
恢复,1754
价格,1751
报告,1750
损失,1749
信息,1748
长期,1747
炮弹,1745
意味着,1732
贸易,1728
外交,1725
大选,1720
关键,1720
天然气,1714
对此,1704
推进,1703
朝鲜,1691
公布,1688
只能,1685
承认,1676
改变,1669
发言人,1665
工作,1664
卢日,1662
可能性,1661
强大,1657
网页,1653
联合国,1648
力量,1647
选举,1642
第一,1636
派遣,1632
红海,1631
弹药,1616
建立,1615
两国,1613
美联储,1607
处于,1599
因素,1595
15,1593
尔茨,1578
面对,1575
小时,1567
苏联,1564
努力,1557
摧毁,1553
利用,1546
发现,1541
参加,1534
失败,1534
访问,1529
试图,1528
内部,1524
外长,1518
停止,1512
近期,1512
一年,1507
派兵,1505
预计,1498
各国,1494
核武器,1493
货币,1487
时代,1485
下降,1484
至少,1483
有人,1482
我国,1480
表现,1474
乌方,1468
承诺,1457
降息,1453
金价,1453
专家,1451
通胀,1447
几个,1444
30,1444
人类,1440
16,1433
背后,1433
用于,1430
文章,1429
机会,1427
恐袭,1418
汽车,1411
各方,1410
今日,1409
达成,1408
近日,1406
耶夫卡,1404
韩国,1403
国防,1402
阿夫杰,1397
巴勒斯坦,1391
优势,1390
体系,1390
成员国,1381
22,1375
装备,1366
发射,1361
作用,1360
目的,1360
部署,1359
机构,1358
突破,1357
防御,1357
实际上,1354
对话,1353
态度,1352
拥有,1351
活动,1350
规模,1334
工业,1331
总理,1330
欧元,1330
网站,1326
减少,1325
措施,1324
科技,1323
维护,1323
边境,1318
50,1317
主席,1307
排除,1304
哈马斯,1299
陷入,1299
背景,1296
最新,1292
拒绝,1291
25,1291
表态,1287
霸权,1285
克里米亚,1277
放弃,1274
方案,1270
资本,1269
实力,1268
原油,1268
白宫,1264
国防部长,1255
生活,1250
声明,1247
研究,1247
购买,1245
乌克兰人,1243
14,1236
境内,1235
声称,1234
23,1234
发起,1233
习近平,1229
城市,1228
人士,1227
加剧,1224
央行,1223
反攻,1221
地位,1217
全世界,1215
当天,1212
瑞典,1200
卡尔森,1195
击落,1192
说法,1192
社交,1191
程度,1186
基础,1182
提到,1181
价值,1181
环境,1177
肯定,1177
作出,1177
地方,1175
